0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.102040816326530726e-02,9.826014156158021651e-01,9.846761634983701716e-01,9.798768978175281807e-01
1.020408163265306145e-01,9.655055419701784603e-01,9.695871469618689842e-01,9.601587348765027174e-01
1.530612244897959218e-01,9.487071123247996507e-01,9.547293520477434514e-01,9.408373625431899478e-01
2.040816326530612290e-01,9.322009515751279451e-01,9.400992355536568201e-01,9.219047961596461560e-01
2.551020408163265363e-01,9.159819746561185250e-01,9.256933085727253596e-01,9.033532117440147280e-01
3.061224489795918435e-01,9.000451849756599954e-01,9.115081356615041264e-01,8.851749427572258577e-01
3.571428571428571508e-01,8.843856728752700347e-01,8.975403340207217529e-01,8.673624769347586527e-01
4.081632653061224580e-01,8.689986141175740642e-01,8.837865726885699713e-01,8.499084531821586852e-01
4.591836734693877653e-01,8.538792684000984234e-01,8.702435717463544718e-01,8.328056585330275707e-01
5.102040816326530726e-01,8.390229778949221950e-01,8.569081015363190224e-01,8.160470251682268028e-01
5.612244897959184353e-01,8.244251658137364824e-01,8.437769818914543363e-01,7.996256274950643839e-01
6.122448979591836871e-01,8.100813349978699396e-01,8.308470813771110519e-01,7.835346792852582176e-01
6.632653061224489388e-01,7.959870665328458994e-01,8.181153165442318631e-01,7.677675308704906554e-01
7.142857142857143016e-01,7.821380183870439984e-01,8.055786511940288275e-01,7.523176663943997866e-01
7.653061224489796643e-01,7.685299240740477433e-01,7.932340956539279953e-01,7.371787011198664974e-01
8.163265306122449161e-01,7.551585913382643511e-01,7.810787060646090518e-01,7.223443787904896274e-01
8.673469387755101678e-01,7.420199008634136284e-01,7.691095836779703321e-01,7.078085690451545453e-01
9.183673469387755306e-01,7.291098050034873213e-01,7.573238741658524509e-01,6.935652648846297730e-01
9.693877551020408934e-01,7.164243265357881363e-01,7.457187669393540164e-01,6.796085801891432743e-01
1.020408163265306145e+00,7.039595574356631857e-01,7.342914944785783327e-01,6.659327472859125630e-01
1.071428571428571397e+00,6.917116576725562682e-01,7.230393316726512198e-01,6.525321145656239885e-01
1.122448979591836871e+00,6.796768540270068382e-01,7.119595951698517444e-01,6.394011441468755441e-01
1.173469387755102122e+00,6.678514389282319552e-01,7.010496427377023165e-01,6.265344095876186348e-01
1.224489795918367374e+00,6.562317693119311679e-01,6.903068726328637217e-01,6.139265936426523407e-01
1.275510204081632626e+00,6.448142654979660549e-01,6.797287229806863174e-01,6.015724860662444717e-01
1.326530612244897878e+00,6.335954100875651474e-01,6.693126711642686244e-01,5.894669814589699186e-01
1.377551020408163351e+00,6.225717468797162812e-01,6.590562332228782072e-01,5.776050771578777887e-01
1.428571428571428603e+00,6.117398798064120902e-01,6.489569632595907356e-01,5.659818711691153581e-01
1.479591836734693855e+00,6.010964718864212353e-01,6.390124528580065633e-01,5.545925601421527462e-01
1.530612244897959329e+00,5.906382441972616304e-01,6.292203305079050457e-01,5.434324373847734257e-01
1.581632653061224580e+00,5.803619748650611365e-01,6.195782610397003731e-01,5.324968909180100018e-01
1.632653061224489832e+00,5.702644980719916434e-01,6.100839450675639153e-01,5.217814015702183505e-01
1.683673469387755084e+00,5.603427030809740028e-01,6.007351184410791856e-01,5.112815411095075202e-01
1.734693877551020336e+00,5.505935332773501667e-01,5.915295517053008600e-01,5.009929704137492390e-01
1.785714285714285809e+00,5.410139852272305427e-01,5.824650495690864016e-01,4.909114376774133537e-01
1.836734693877551061e+00,5.316011077522233563e-01,5.735394503815759437e-01,4.810327766544866268e-01
1.887755102040816313e+00,5.223520010202632458e-01,5.647506256166940908e-01,4.713529049367503054e-01
1.938775510204081787e+00,5.132638156522576489e-01,5.560964793655506222e-01,4.618678222667031430e-01
1.989795918367347038e+00,5.043337518442765344e-01,5.475749478366209733e-01,4.525736088844345972e-01
2.040816326530612290e+00,4.955590585050147490e-01,5.391839988635840353e-01,4.434664239077630854e-01
2.091836734693877542e+00,4.869370324082616386e-01,5.309216314207035881e-01,4.345425037449718308e-01
2.142857142857142794e+00,4.784650173601156520e-01,5.227858751456341269e-01,4.257981605394846603e-01
2.193877551020408045e+00,4.701404033806890204e-01,5.147747898695409496e-01,4.172297806458400982e-01
2.244897959183673741e+00,4.619606259000492154e-01,5.068864651544191524e-01,4.088338231363335407e-01
2.295918367346938993e+00,4.539231649681503833e-01,4.991190198375037301e-01,4.006068183377105019e-01
2.346938775510204245e+00,4.460255444785098944e-01,4.914706015826600938e-01,3.925453663973058616e-01
2.397959183673469497e+00,4.382653314053928106e-01,4.839393864386496991e-01,3.846461358780370321e-01
2.448979591836734748e+00,4.306401350542676254e-01,4.765235784041647604e-01,3.769058623816703979e-01
2.500000000000000000e+00,4.231476063253036268e-01,4.692214089995277448e-01,3.693213471997914277e-01
