Intensity_W_per_m2,Optical_Power_mW,Fprime0_mF0_MHz,Fprime1_mF1_MHz,Fprime1_mF-1_MHz,Fprime1_mF0_MHz,Fprime2_mF-1_MHz,Fprime2_mF0_MHz,Fprime2_mF2_MHz,Fprime2_mF-2_MHz,Fprime2_mF1_MHz,Fprime3_mF-1_MHz,Fprime3_mF-2_MHz,Fprime3_mF3_MHz,Fprime3_mF2_MHz,Fprime3_mF-3_MHz,Fprime3_mF1_MHz,Fprime3_mF0_MHz
0.0,0.0,-0.4958144999999999,-0.4235925,-0.42359249999999987,-0.42359249999999987,-0.26665199999999994,-0.2666519999999999,-0.26665199999999983,-0.26665199999999983,-0.2666519999999998,0.0,8.940696716308594e-17,1.4901161193847657e-16,1.4901161193847657e-16,1.4901161193847657e-16,2.0861625671386718e-16,2.682209014892578e-16
2.0202020202020203,3.7273325786155938,-0.47890209262415184,-0.40457244006357146,-0.40457244006357146,-0.41080354688517423,-0.24954988269276862,-0.24949667855421362,-0.24972253102285993,-0.2497225310228599,-0.2495498826927687,0.020256550588880897,0.017138259844494342,0.011756729810728013,0.017138259844494373,0.011756729810728013,0.020256550588880807,0.021278775706808566
4.040404040404041,7.4546651572311875,-0.4622318301046206,-0.3858109638008803,-0.38581096380088026,-0.3980592079502124,-0.23229750555055503,-0.23209921225211078,-0.23300136398823693,-0.23300136398823695,-0.23229750555055503,0.04062142501651657,0.03448482163150555,0.023513459621455877,0.03448482163150552,0.023513459621455877,0.040621425016516624,0.04260216559348085
6.06060606060606,11.18199773584678,-0.4458014289547956,-0.3673208718018188,-0.3673208718018186,-0.3853569277250049,-0.21487557478040673,-0.21446188458030163,-0.2164870434997651,-0.2164870434997651,-0.21487557478040673,0.061088130079847244,0.05203822996466783,0.03527018943218374,0.05203822996466783,0.03527018943218374,0.061088130079847036,0.06396761418990764
8.080808080808081,14.909330314462375,-0.4296071621299899,-0.3491130982870574,-0.3491130982870574,-0.37269431992277224,-0.19726698730749723,-0.19658842258347325,-0.20017718121183944,-0.20017718121183953,-0.19726698730749723,0.08165049692471674,0.06979609649837631,0.047026919242911636,0.0697960964983764,0.047026919242911636,0.08165049692471674,0.08537273520930926
10.101010101010102,18.63666289307797,-0.4136439712834165,-0.3311962462538594,-0.331196246253859,-0.36006915592984606,-0.1794573002035265,-0.17848388460841147,-0.184068509718157,-0.1840685097181569,-0.17945730020352643,0.1023026856200898,0.08775515382632884,0.058783649053639975,0.08775515382632897,0.058783649053639975,0.10230268562008998,0.10681530003801802
12.12121212121212,22.36399547169356,-0.3979056128995944,-0.31357620264185904,-0.31357620264185915,-0.34747935393880025,-0.161435114697247,-0.16015451417060023,-0.16815695402989717,-0.16815695402989717,-0.16143511469724708,0.12303918433434907,0.10591132695970229,0.07054037886436737,0.10591132695970229,0.07054037886436737,0.123039184334349,0.12829322686860528
14.14141414141414,26.09132805030915,-0.3823848289086082,-0.2962558739719209,-0.2962558739719208,-0.3349229687292738,-0.14319233543151672,-0.14160756933995242,-0.1524377171194651,-0.1524377171194651,-0.14319233543151674,0.14385480423122082,0.12425981887090441,0.08229710867509522,0.12425981887090448,0.08229710867509522,0.14385480423122093,0.14980457048071327
16.161616161616163,29.81866062892475,-0.3670735316822912,-0.27923507158127736,-0.27923507158127725,-0.3223981820892427,-0.12472427682624425,-0.12285113774463548,-0.13690537555905768,-0.1369053755590576,-0.12472427682624429,0.16474467106784538,0.14279520613213112,0.09405383848582306,0.1427952061321312,0.09405383848582306,0.16474467106784527,0.17134751266231618
18.18181818181818,33.54599320754034,-0.3519629935941341,-0.26251055851347527,-0.2625105585134751,-0.3099032938608916,-0.10602960533332309,-0.10389394701115821,-0.12155398114826861,-0.12155398114826857,-0.10602960533332303,0.18570421433966253,0.16151154054297617,0.10581056829655096,0.16151154054297617,0.10581056829655096,0.18570421433966253,0.19292035325559923
20.202020202020204,37.27332578615594,-0.3370440324077995,-0.24607625069820088,-0.24607625069820088,-0.29743671358914564,-0.087110125660159,-0.08474517937585763,-0.10637716457691582,-0.1063771645769157,-0.087110125660159,0.2067291546837661,0.1804024527932585,0.11756729810727932,0.18040245279325845,0.11756729810727932,0.2067291546837661,0.21452150180548837
22.22222222222222,41.000658364771525,-0.32230718538525177,-0.22992354737193602,-0.2299235473719361,-0.28499695274671755,-0.06797043659929311,-0.06541429757677236,-0.09136823755610073,-0.0913682375561006,-0.06797043659929311,0.22781549012917426,0.19946125459407654,0.12932402791800668,0.19946125459407654,0.12932402791800668,0.22781549012917432,0.23614946978469362
24.24242424242424,44.72799094338712,-0.30774286689632885,-0.21404175325006583,-0.21404175325006586,-0.2725826175068513,-0.04861749443127996,-0.04591088724405992,-0.0765202904040496,-0.0765202904040496,-0.048617494431279926,0.24895948167183254,0.21868103626366053,0.14108075772873507,0.2186810362636606,0.14108075772873507,0.24895948167183277,0.25780286336646235
26.262626262626263,48.455323522002715,-0.2933415062182454,-0.1984185496344028,-0.19841854963440275,-0.2601924020334965,-0.029060127097709866,-0.026244519100509466,-0.06182628272076873,-0.06182628272076881,-0.029060127097709984,0.27015763855514,0.23805475740201393,0.15283748753946294,0.23805475740201393,0.15283748753946294,0.27015763855514013,0.27948037671474185
28.28282828282828,52.1826561006183,-0.2790936639469134,-0.18304047332035267,-0.18304047332035273,-0.24782508225800473,-0.009308540577659011,-0.006424632550207883,-0.0472791254592593,-0.0472791254592593,-0.00930854057765919,0.2914067035535777,0.25757532896213775,0.1645942173501903,0.2575753289621376,0.1645942173501903,0.2914067035535779,0.301180785760883
30.303030303030305,55.909988679233905,-0.2649901268841518,-0.16789336916556113,-0.16789336916556102,-0.23547951011160093,0.010626148166928709,0.013539559208664507,-0.032871753345462086,-0.032871753345462114,0.010626148166928768,0.31270363848673893,0.2772356856699747,0.1763509471609182,0.2772356856699746,0.1763509471609182,0.31270363848673915,0.32290294243611334
32.323232323232325,59.6373212578495,-0.25102198236388606,-0.15296279204717045,-0.1529627920471704,-0.2231546081834361,0.0307323272350792,0.03363914351003382,-0.01859718717384532,-0.018597187173845262,0.03073232723507926,0.33404561013274015,0.2970288483199929,0.18810767697164651,0.2970288483199929,0.18810767697164651,0.3340456101327399,0.34464576932958374
34.34343434343434,63.36465383646509,-0.23718067373728716,-0.13823434429448223,-0.13823434429448236,-0.21084936477500826,0.050998240785393056,0.05386556370506874,-0.004448585986303479,-0.004448585986303568,0.05099824078539309,0.35542997666227827,0.31694797595408525,0.19986440678237435,0.31694797595408525,0.19986440678237435,0.35542997666227827,0.36640825474278976
36.36363636363636,67.09198641508068,-0.2234580391875304,-0.12369394379271967,-0.12369394379271946,-0.1985628293229299,0.07141227010238284,0.07421065797694543,0.009580710481389493,0.009580710481389433,0.07141227010238278,0.37685427467606486,0.33698640830802523,0.21162113659310178,0.33698640830802534,0.21162113659310178,0.37685427467606475,0.3881894481123446
38.38383838383839,70.81931899369629,-0.2098463362445713,-0.10932802487964001,-0.10932802487964023,-0.186294108163405,0.09196314680020228,0.09466668385562124,0.023497148427882225,0.023497148427882253,0.0919631468002024,0.3983162068977078,0.35713769918316796,0.22337786640383014,0.3571376991831677,0.22337786640383014,0.3983162068977077,0.4099884557744551
40.40404040404041,74.54665157231187,-0.19633825437991517,-0.09512367868188347,-0.0951236786818831,-0.17404236061322748,0.11264010478259852,0.11522633081259963,0.03730693485233435,0.0373069348523345,0.11264010478259852,0.41981363055009485,0.37739564158034955,0.23513459621455804,0.37739564158034955,0.23513459621455804,0.41981363055009496,0.43180443704591215
42.42424242424242,78.27398415092748,-0.18292691793869373,-0.08106874192245386,-0.08106874192245374,-0.16180679534361275,0.13343297998101172,0.13588272319301214,0.05101601972262725,0.05101601972262725,0.13343297998101195,0.4413445464247924,0.3977542855316912,0.24689132602528588,0.39775428553169095,0.24689132602528588,0.441344546424793,0.45363660059793115
44.44444444444444,82.00131672954305,-0.1696058814611745,-0.06715184396662392,-0.06715184396662383,-0.14958666702470136,0.1543322676426113,0.1566294155371268,0.06463008447620643,0.06463008447620633,0.15433226764261124,0.46290708863990343,0.4182079495997458,0.2586480558360137,0.4182079495997459,0.2586480558360137,0.46290708863990376,0.47548420110065376
46.464646464646464,85.72864930815864,-0.1563691191975413,-0.053362421496272384,-0.053362421496272294,-0.13738127322004648,0.1753291465732318,0.17746038209512802,0.07815453589962956,0.07815453589962962,0.17532914657323195,0.4844995150714718,0.4387512269979569,0.27040478564674164,0.4387512269979569,0.27040478564674164,0.4844995150714712,0.49734653611763296
48.48484848484848,89.45598188677424,-0.14321101035762251,-0.03969070918089944,-0.03969070918089932,-0.1251899515118439,0.19641547872583662,0.1983700020768433,0.09159450448337349,0.09159450448337332,0.1964154787258363,0.5061201984360347,0.45937898723584714,0.2821615154574695,0.45937898723584714,0.2821615154574695,0.5061201984360353,0.5192229432310647
50.505050505050505,93.18331446538984,-0.1301263213812346,-0.026127713403019486,-0.026127713403019875,-0.1130120768390486,0.21758379121973626,0.21935304192208924,0.1049548464216865,0.10495484642168638,0.21758379121973612,0.5277676179967957,0.4800863741191684,0.2939182452681973,0.48008637411916827,0.2939182452681973,0.5277676179967956,0.5411127973799034
