0.000000000000000000e+00,0.000000000000000000e+00
2.202202202202202252e-01,4.224161444846900176e-02
4.404404404404404505e-01,8.054817589720296434e-02
6.606606606606606480e-01,1.150737614314850110e-01
8.808808808808809010e-01,1.459724481365983206e-01
1.101101101101101154e+00,1.733983130978260234e-01
1.321321321321321296e+00,1.975054334004512635e-01
1.541541541541541660e+00,2.184478861297571850e-01
1.761761761761761802e+00,2.363797483710269598e-01
1.981981981981981944e+00,2.514550972095437320e-01
2.202202202202202308e+00,2.638280097305906180e-01
2.422422422422422450e+00,2.736525630194507341e-01
2.642642642642642592e+00,2.810828341614072245e-01
2.862862862862862734e+00,2.862729002417434554e-01
3.083083083083083320e+00,2.893768383457421267e-01
3.303303303303303462e+00,2.905487255586868822e-01
3.523523523523523604e+00,2.899426389658605330e-01
3.743743743743743746e+00,2.877126556525463896e-01
3.963963963963963888e+00,2.840128527040274853e-01
4.184184184184184474e+00,2.789973072055871306e-01
4.404404404404404616e+00,2.728200962425083032e-01
4.624624624624624758e+00,2.656352969000742026e-01
4.844844844844844900e+00,2.575969862635680285e-01
5.065065065065065042e+00,2.488592414182727586e-01
5.285285285285285184e+00,2.395761394494717866e-01
5.505505505505505326e+00,2.299017574424480903e-01
5.725725725725725468e+00,2.199901724824848415e-01
5.945945945945946498e+00,2.099954616548652120e-01
6.166166166166166640e+00,2.000717020448722350e-01
6.386386386386386782e+00,1.903729707377893321e-01
6.606606606606606924e+00,1.810533448188993977e-01
6.826826826826827066e+00,1.722669013734857146e-01
7.047047047047047208e+00,1.641677174868313438e-01
7.267267267267267350e+00,1.569098702442194293e-01
7.487487487487487492e+00,1.506474367309331153e-01
7.707707707707707634e+00,1.455344940322556568e-01
7.927927927927927776e+00,1.417251192334701149e-01
8.148148148148148806e+00,1.393733894198596335e-01
8.368368368368368948e+00,1.386333816767073290e-01
8.588588588588589090e+00,1.396591730892964844e-01
8.808808808808809232e+00,1.426048407429100773e-01
9.029029029029029374e+00,1.476244617228313072e-01
9.249249249249249516e+00,1.548721131143434571e-01
9.469469469469469658e+00,1.645018720027294212e-01
9.689689689689689800e+00,1.766678154732725936e-01
9.909909909909909942e+00,1.915240206112558963e-01
1.013013013013013008e+01,2.092245645019626399e-01
1.035035035035035023e+01,2.299230700142227413e-01
1.057057057057057037e+01,2.537681760466032888e-01
1.079079079079079051e+01,2.809054413539456840e-01
1.101101101101101065e+01,3.114803791063673333e-01
1.123123123123123079e+01,3.456402721138260858e-01
1.145145145145145094e+01,3.844489163033665280e-01
1.167167167167167108e+01,4.313822463335765800e-01
1.189189189189189300e+01,4.903083241594162756e-01
1.211211211211211314e+01,5.650949504575720761e-01
1.233233233233233328e+01,6.577669213837282758e-01
1.255255255255255342e+01,7.640950808797070115e-01
1.277277277277277356e+01,8.785249837055058020e-01
1.299299299299299371e+01,9.955021846211218328e-01
1.321321321321321385e+01,1.109685900057372665e+00
1.343343343343343399e+01,1.220339066395888628e+00
1.365365365365365413e+01,1.331162175511526602e+00
1.387387387387387427e+01,1.446036133979380800e+00
1.409409409409409442e+01,1.568841848374546100e+00
1.431431431431431456e+01,1.703539847785741745e+00
1.453453453453453470e+01,1.855767695033022413e+00
1.475475475475475484e+01,2.032758503699402475e+00
1.497497497497497498e+01,2.241808700613210803e+00
1.519519519519519513e+01,2.490214712602777603e+00
1.541541541541541527e+01,2.784519542865300679e+00
1.563563563563563541e+01,3.115750889343815277e+00
1.585585585585585555e+01,3.460366363028401171e+00
1.607607607607607747e+01,3.794259429106980885e+00
1.629629629629629761e+01,4.093323552767470730e+00
1.651651651651651775e+01,4.339096953555962699e+00
1.673673673673673790e+01,4.536865508313792539e+00
1.695695695695695804e+01,4.698159132507693236e+00
1.717717717717717818e+01,4.834507769858446657e+00
1.739739739739739832e+01,4.957441364086836444e+00
1.761761761761761846e+01,5.078336753648738267e+00
1.783783783783783861e+01,5.205554942604376123e+00
1.805805805805805875e+01,5.344697809231077734e+00
1.827827827827827889e+01,5.501265595675817188e+00
1.849849849849849903e+01,5.680758544085559691e+00
1.871871871871871917e+01,5.888674613668064772e+00
1.893893893893893932e+01,6.125772719633093111e+00
1.915915915915915946e+01,6.378096536018395213e+00
1.937937937937937960e+01,6.628841993463428395e+00
1.959959959959959974e+01,6.861205022607657078e+00
1.981981981981981988e+01,7.058381554090543020e+00
2.004004004004004003e+01,7.204619879429484897e+00
2.026026026026026017e+01,7.297875508230964314e+00
2.048048048048048031e+01,7.345701337836273659e+00
2.070070070070070045e+01,7.355847784687306934e+00
2.092092092092092059e+01,7.336065265225951038e+00
2.114114114114114074e+01,7.294104195894092868e+00
2.136136136136136088e+01,7.237409684835180101e+00
2.158158158158158102e+01,7.170610669727118136e+00
2.180180180180180116e+01,7.096815850412992788e+00
2.202202202202202130e+01,7.019119109217512253e+00
2.224224224224224145e+01,6.940614328465379401e+00
2.246246246246246159e+01,6.864395390481297987e+00
2.268268268268268173e+01,6.793477338111354236e+00
2.290290290290290187e+01,6.727314334670503548e+00
2.312312312312312201e+01,6.660425502367943729e+00
2.334334334334334216e+01,6.586967082772087423e+00
2.356356356356356585e+01,6.501095317451344613e+00
2.378378378378378599e+01,6.396966447974140380e+00
2.400400400400400613e+01,6.270249093816778085e+00
2.422422422422422628e+01,6.124162103991364070e+00
2.444444444444444642e+01,5.964275728177359959e+00
2.466466466466466656e+01,5.796160975668001036e+00
2.488488488488488670e+01,5.625388855756522588e+00
2.510510510510510684e+01,5.457530377736158123e+00
2.532532532532532699e+01,5.298156550900149142e+00
2.554554554554554713e+01,5.152829550613563292e+00
2.576576576576576727e+01,5.025391741950412161e+00
2.598598598598598741e+01,4.915920904565791894e+00
2.620620620620620755e+01,4.823996500812011590e+00
2.642642642642642770e+01,4.749197993041380350e+00
2.664664664664664784e+01,4.691104843606207275e+00
2.686686686686686798e+01,4.649285692258784408e+00
2.708708708708708812e+01,4.622495944904768450e+00
2.730730730730730826e+01,4.608125969452628645e+00
2.752752752752752841e+01,4.603435583317743607e+00
2.774774774774774855e+01,4.605684603915489284e+00
2.796796796796796869e+01,4.612132848661242512e+00
2.818818818818818883e+01,4.620040134970380130e+00
2.840840840840840897e+01,4.626666280258280750e+00
2.862862862862862912e+01,4.629271101940323874e+00
2.884884884884884926e+01,4.625431904101987790e+00
2.906906906906906940e+01,4.616295672398073258e+00
2.928928928928928954e+01,4.605256183787085789e+00
2.950950950950950968e+01,4.595742214674324977e+00
