Intensity_W_per_m2,Optical_Power_mW,Fprime0_mF0_MHz,Fprime1_mF1_MHz,Fprime1_mF-1_MHz,Fprime1_mF0_MHz,Fprime2_mF-1_MHz,Fprime2_mF0_MHz,Fprime2_mF2_MHz,Fprime2_mF-2_MHz,Fprime2_mF1_MHz,Fprime3_mF-1_MHz,Fprime3_mF-2_MHz,Fprime3_mF3_MHz,Fprime3_mF2_MHz,Fprime3_mF-3_MHz,Fprime3_mF1_MHz,Fprime3_mF0_MHz
0.0,0.0,-0.30207375,-0.22985175000000016,-0.22985175000000002,-0.22985175,-0.07291125000000012,-0.07291125000000002,-0.07291124999999997,-0.07291124999999997,-0.07291124999999994,0.19374074999999985,0.19374074999999993,0.19374075,0.19374075,0.19374075,0.19374075000000007,0.19374075000000013
2.0202020202020203,3.7273325786155938,-0.29166934465289956,-0.21733969209231915,-0.21733969209231918,-0.22357079891392193,-0.06231713472151633,-0.06226393058296132,-0.062489783051607656,-0.062489783051607614,-0.06231713472151641,0.20748929856013318,0.20437100781574663,0.1989894777819803,0.20437100781574666,0.1989894777819803,0.2074892985601331,0.20851152367806086
4.040404040404041,7.4546651572311875,-0.2815070841621159,-0.20508621785837555,-0.20508621785837552,-0.21733446200770762,-0.05157275960805029,-0.05137446630960604,-0.0522766180457322,-0.05227661804573222,-0.051572759608050286,0.2213461709590213,0.21520956757401027,0.2042382055639606,0.21520956757401025,0.2042382055639606,0.22134617095902137,0.22332691153598558
6.06060606060606,11.18199773584678,-0.2715846850410384,-0.19310412788806164,-0.19310412788806147,-0.21114018381124774,-0.04065883086664952,-0.04024514066654448,-0.04227029958600793,-0.04227029958600793,-0.040658830866649544,0.23530487399360442,0.226254973878425,0.20948693334594093,0.226254973878425,0.20948693334594093,0.23530487399360422,0.2381843581036648
8.080808080808081,14.909330314462375,-0.2618984202449803,-0.18140435640204775,-0.18140435640204775,-0.2049855780377626,-0.02955824542248762,-0.028879680698463653,-0.03246843932682983,-0.032468439326829905,-0.029558245422487604,0.24935923880972635,0.23750483838338593,0.21473566112792125,0.237504838383386,0.21473566112792125,0.24935923880972638,0.25308147709431883
10.101010101010102,18.63666289307797,-0.25244323142715497,-0.16999550639759778,-0.16999550639759747,-0.19886841607358446,-0.018256560347264913,-0.01728314475214989,-0.022867769861895426,-0.022867769861895298,-0.018256560347264857,0.2635034254763514,0.2489558936825904,0.21998438890990155,0.24895589368259055,0.21998438890990155,0.2635034254763516,0.26801603989427963
12.12121212121212,22.36399547169356,-0.24321287507207995,-0.15888346481434454,-0.1588834648143447,-0.19278661611128578,-0.006742376869732494,-0.005461776343085729,-0.01346421620238264,-0.013464216202382646,-0.006742376869732591,0.27773192216186354,0.26060406478721676,0.22523311669188187,0.26060406478721676,0.22523311669188187,0.2777319221618635,0.2829859646961198
14.14141414141414,26.09132805030915,-0.2342000931098413,-0.14807113817315395,-0.1480711381731539,-0.18673823293050684,0.004992400367250225,0.006577166458814516,-0.004252981320698164,-0.0042529813206981714,0.004992400367250194,0.2920395400299878,0.2724445546696714,0.23048184447386216,0.27244455466967143,0.23048184447386216,0.2920395400299879,0.2979893062794802
16.161616161616163,29.81866062892475,-0.22539679791227174,-0.13755833781125795,-0.13755833781125784,-0.18072144831922335,0.016952456943775136,0.018825596025383903,0.004771358210961699,0.004771358210961774,0.016952456943775087,0.30642140483786473,0.28447193990215053,0.23573057225584249,0.2844719399021506,0.23573057225584249,0.3064214048378646,0.31302424643233556
18.18181818181818,33.54599320754034,-0.21679426185286227,-0.12734182677220346,-0.12734182677220326,-0.1747345621196198,0.029139126407948735,0.03127478473011361,0.013614750593003221,0.013614750593003261,0.029139126407948784,0.32087294608093436,0.296680272284248,0.24097930003782278,0.296680272284248,0.24097930003782278,0.32087294608093436,0.32808908499687106
20.202020202020204,37.27332578615594,-0.20838330269527572,-0.11741552098567709,-0.11741552098567708,-0.16877598387662188,0.0415506040523648,0.043915550336666165,0.022283565135607974,0.022283565135608085,0.0415506040523648,0.33538988439628986,0.3090631825057823,0.24622802781980313,0.30906318250578224,0.24622802781980313,0.33538988439628986,0.3431822315180122
