3.000000000000000000e+02,1.074975902522590469e-08,1.074971890922637259e-08,1.074874659315552492e-08,-1.402098254900865926e-02,-1.402093359439863240e-01,-7.009873518231388712e-01,1.000000000000000000e+03,2.000000000000000000e+03,1.264910627177676588e+03
3.040066777963272102e+02,1.076781339582871109e-08,1.076777189828288815e-08,1.076676610341219078e-08,-1.424257778548297486e-02,-1.424252639307763135e-01,-7.120640377795295350e-01,1.000000000000000000e+03,2.000000000000000000e+03,1.264910627177676588e+03
3.080133555926544204e+02,1.078619231884494603e-08,1.078614940188707633e-08,1.078510921105973437e-08,-1.446575493426352152e-02,-1.446570100311443119e-01,-7.232196920115023797e-01,1.000000000000000000e+03,2.000000000000000000e+03,1.264910627177676588e+03
3.120200333889816307e+02,1.080489984123848986e-08,1.080485546591488142e-08,1.080377993564478720e-08,-1.469055105874249832e-02,-1.469049448406103686e-01,-7.344561628466579339e-01,1.000000000000000000e+03,2.000000000000000000e+03,1.264910627177676588e+03
3.160267111853088409e+02,1.082394011556113901e-08,1.082389424178933581e-08,1.082278240127426891e-08,-1.491700407013571254e-02,-1.491694474313453034e-01,-7.457753408040358467e-01,1.000000000000000000e+03,2.000000000000000000e+03,1.264910627177676588e+03
3.200333889816360511e+02,1.084331740282293266e-08,1.084326998934920581e-08,1.084212083944288414e-08,-1.514515275554479713e-02,-1.514509056327187630e-01,-7.571791599878291423e-01,1.000000000000000000e+03,2.000000000000000000e+03,1.264910627177676588e+03
3.240400667779632613e+02,1.086303607546751477e-08,1.086298707982256868e-08,1.086179959196358026e-08,-1.537503680704160186e-02,-1.537497163220642171e-01,-7.686695995317164298e-01,1.000000000000000000e+03,2.000000000000000000e+03,1.264910627177676588e+03
3.280467445742904715e+02,1.088310062045686928e-08,1.088304999890965846e-08,1.088182311400511998e-08,-1.560669685181946542e-02,-1.560662857261089220e-01,-7.802486850960292930e-01,1.000000000000000000e+03,2.000000000000000000e+03,1.264910627177676588e+03
3.320534223706176817e+02,1.090351564246983890e-08,1.090346334997943436e-08,1.090219597724120762e-08,-1.584017448345839338e-02,-1.584010297335395889e-01,-7.919184904200656794e-01,1.000000000000000000e+03,2.000000000000000000e+03,1.264910627177676588e+03
3.360601001669448920e+02,1.092428586721928816e-08,1.092423185738466422e-08,1.092292287311570846e-08,-1.607551229435356943e-02,-1.607543742191950009e-01,-8.036811389319981069e-01,1.000000000000000000e+03,2.000000000000000000e+03,1.264910627177676588e+03
