x y
1.0000000000E+00 2.8161749169E-09
2.0000000000E+00 2.2994918793E-08
3.0000000000E+00 1.0592964709E-07
4.0000000000E+00 4.6525292443E-07
5.0000000000E+00 9.1718111889E-07
6.0000000000E+00 4.1952001499E-07
7.0000000000E+00 5.7063070272E-08
8.0000000000E+00 7.7085870751E-09
9.0000000000E+00 1.8890118441E-09
1.0000000000E+01 6.3407199045E-09
1.1000000000E+01 1.7448794643E-08
1.2000000000E+01 2.2106946393E-08
1.3000000000E+01 2.9923056930E-08
1.4000000000E+01 5.5759943838E-08
1.5000000000E+01 1.4973516845E-07
1.6000000000E+01 5.0703893414E-07
1.7000000000E+01 1.9499638812E-06
1.8000000000E+01 8.7358760043E-06
1.9000000000E+01 3.9815798784E-05
2.0000000000E+01 4.9120157089E-02
2.1000000000E+01 3.9897906525E-05
2.2000000000E+01 8.6585290611E-06
2.3000000000E+01 2.0653889247E-06
2.4000000000E+01 5.2127784701E-07
2.5000000000E+01 2.1047638591E-07
2.6000000000E+01 1.1673740968E-07
2.7000000000E+01 1.0642797666E-07
2.8000000000E+01 1.1365043375E-07
2.9000000000E+01 1.2560345961E-07
3.0000000000E+01 2.2574794534E-07
3.1000000000E+01 5.1312514867E-07
3.2000000000E+01 1.4118226705E-06
3.3000000000E+01 4.5698920455E-06
3.4000000000E+01 1.7029011499E-05
3.5000000000E+01 4.9104982217E-02
3.6000000000E+01 1.6328654838E-05
3.7000000000E+01 4.1478632043E-06
3.8000000000E+01 1.2378499738E-06
3.9000000000E+01 4.2797378742E-07
4.0000000000E+01 1.2471069820E-07
4.1000000000E+01 1.7938565581E-08
4.2000000000E+01 1.6111747225E-09
4.3000000000E+01 7.2475272194E-09
4.4000000000E+01 2.2438935110E-08
4.5000000000E+01 6.9729888624E-08
4.6000000000E+01 3.1312715973E-07
4.7000000000E+01 1.6908089073E-06
4.8000000000E+01 8.3535398812E-06
4.9000000000E+01 3.7733894205E-05
5.0000000000E+01 4.9118322345E-02
5.1000000000E+01 3.9005069386E-05
5.2000000000E+01 8.4077796986E-06
5.3000000000E+01 1.9909478425E-06
5.4000000000E+01 5.0330618093E-07
5.5000000000E+01 1.6412196014E-07
5.6000000000E+01 7.4485403791E-08
5.7000000000E+01 6.3776525516E-08
5.8000000000E+01 7.5302006261E-08
5.9000000000E+01 9.5729882574E-08
6.0000000000E+01 1.8059220870E-07
6.1000000000E+01 4.1307945903E-07
6.2000000000E+01 1.2180330870E-06
6.3000000000E+01 4.1984524919E-06
6.4000000000E+01 1.7853416410E-05
6.5000000000E+01 4.9105009056E-02
6.6000000000E+01 1.7830736858E-05
6.7000000000E+01 4.4283855169E-06
6.8000000000E+01 1.1203030252E-06
6.9000000000E+01 3.8820540953E-07
7.0000000000E+01 1.4351256689E-07
7.1000000000E+01 5.2148111010E-08
7.2000000000E+01 2.2362431269E-08
7.3000000000E+01 1.6181045268E-08
7.4000000000E+01 1.0475939362E-08
7.5000000000E+01 1.4197071921E-08
7.6000000000E+01 5.3685379526E-09
7.7000000000E+01 1.1496627983E-08
7.8000000000E+01 1.1504573291E-07
7.9000000000E+01 7.5473313314E-07
8.0000000000E+01 1.7460292841E-06
8.1000000000E+01 8.5377774046E-07
8.2000000000E+01 1.5696776141E-07
8.3000000000E+01 3.1874725980E-08
8.4000000000E+01 4.4564134282E-09
8.5000000000E+01 1.1917584056E-09
