x y
1.0000000000E+00 3.5187579727E-02
2.0000000000E+00 4.5890975751E-02
3.0000000000E+00 4.2456868822E-02
4.0000000000E+00 3.3709422484E-02
5.0000000000E+00 8.2045450786E-01
6.0000000000E+00 3.6316922794E-02
7.0000000000E+00 9.9531243978E-03
8.0000000000E+00 7.1082030829E-03
9.0000000000E+00 4.2125486609E-03
1.0000000000E+01 3.2496390222E-03
1.1000000000E+01 2.7167147988E-03
1.2000000000E+01 2.4533385538E-03
1.3000000000E+01 2.3400316150E-03
1.4000000000E+01 2.2460700752E-03
1.5000000000E+01 2.1511884508E-03
1.6000000000E+01 2.0674424402E-03
1.7000000000E+01 2.0021247854E-03
1.8000000000E+01 1.9540012375E-03
1.9000000000E+01 1.9185532714E-03
2.0000000000E+01 1.8917063236E-03
2.1000000000E+01 1.8705703177E-03
2.2000000000E+01 1.8531323436E-03
2.3000000000E+01 1.8380191122E-03
2.4000000000E+01 1.8243790988E-03
2.5000000000E+01 1.8117573637E-03
2.6000000000E+01 1.7999553631E-03
2.7000000000E+01 1.7889117705E-03
2.8000000000E+01 1.7786212199E-03
2.9000000000E+01 1.7690880955E-03
3.0000000000E+01 1.7603054764E-03
3.1000000000E+01 1.7522492781E-03
3.2000000000E+01 1.7448799650E-03
3.3000000000E+01 1.7381470304E-03
3.4000000000E+01 1.7319938089E-03
3.5000000000E+01 1.7263616808E-03
3.6000000000E+01 1.7211934385E-03
3.7000000000E+01 1.7164357967E-03
3.8000000000E+01 1.7120410547E-03
3.9000000000E+01 1.7079679382E-03
4.0000000000E+01 1.7041816940E-03
4.1000000000E+01 1.7006535873E-03
4.2000000000E+01 1.6973600008E-03
4.3000000000E+01 1.6942813523E-03
4.4000000000E+01 1.6914010186E-03
4.5000000000E+01 1.6887044038E-03
4.6000000000E+01 1.6861782244E-03
4.7000000000E+01 1.6838100293E-03
4.8000000000E+01 1.6815879311E-03
4.9000000000E+01 1.6795005011E-03
5.0000000000E+01 1.6775367739E-03
5.1000000000E+01 1.6756863099E-03
5.2000000000E+01 1.6739392755E-03
5.3000000000E+01 1.6722865132E-03
5.4000000000E+01 1.6707195849E-03
5.5000000000E+01 1.6692307851E-03
5.6000000000E+01 1.6678131252E-03
5.7000000000E+01 1.6664602953E-03
5.8000000000E+01 1.6651666122E-03
5.9000000000E+01 1.6639269610E-03
6.0000000000E+01 1.6627367371E-03
6.1000000000E+01 1.6615917922E-03
6.2000000000E+01 1.6604883865E-03
6.3000000000E+01 1.6594231483E-03
6.4000000000E+01 1.6583930396E-03
6.5000000000E+01 1.6573953262E-03
6.6000000000E+01 1.6564275507E-03
6.7000000000E+01 1.6554875066E-03
6.8000000000E+01 1.6545732129E-03
6.9000000000E+01 1.6536828888E-03
7.0000000000E+01 1.6528149286E-03
7.1000000000E+01 1.6519678789E-03
7.2000000000E+01 1.6511404170E-03
7.3000000000E+01 1.6503313338E-03
7.4000000000E+01 1.6495395194E-03
7.5000000000E+01 1.6487639514E-03
7.6000000000E+01 1.6480036865E-03
7.7000000000E+01 1.6472578536E-03
7.8000000000E+01 1.6465256472E-03
7.9000000000E+01 1.6458063226E-03
8.0000000000E+01 1.6450991900E-03
8.1000000000E+01 1.6444036099E-03
8.2000000000E+01 1.6437189876E-03
8.3000000000E+01 1.6430447687E-03
8.4000000000E+01 1.6423804350E-03
8.5000000000E+01 1.6417255000E-03
8.6000000000E+01 1.6410795064E-03
8.7000000000E+01 1.6404420231E-03
8.8000000000E+01 1.6398126436E-03
8.9000000000E+01 1.6391909847E-03
9.0000000000E+01 1.6385766854E-03
9.1000000000E+01 1.6379694069E-03
9.2000000000E+01 1.6373688325E-03
9.3000000000E+01 1.6367746673E-03
9.4000000000E+01 1.6361866389E-03
9.5000000000E+01 1.6356044969E-03
9.6000000000E+01 1.6350280130E-03
9.7000000000E+01 1.6344569802E-03
9.8000000000E+01 1.6338912126E-03
9.9000000000E+01 1.6333305435E-03
1.0000000000E+02 1.6327748244E-03
