x y z
1.0000000000E+00 1.0000000000E+00 1.2365559441E-02
2.0000000000E+00 1.0000000000E+00 1.6203146853E-02
3.0000000000E+00 1.0000000000E+00 1.2239219114E-02
4.0000000000E+00 1.0000000000E+00 1.3013053613E-02

1.0000000000E+00 2.0000000000E+00 1.3976398601E-02
2.0000000000E+00 2.0000000000E+00 1.2586655012E-02
3.0000000000E+00 2.0000000000E+00 1.3834265734E-02
4.0000000000E+00 2.0000000000E+00 1.6408449883E-02

1.0000000000E+00 3.0000000000E+00 1.5034498834E-02
2.0000000000E+00 3.0000000000E+00 1.8414102564E-02
3.0000000000E+00 3.0000000000E+00 1.5066083916E-02
4.0000000000E+00 3.0000000000E+00 1.8793123543E-02

1.0000000000E+00 4.0000000000E+00 1.6313694639E-02
2.0000000000E+00 4.0000000000E+00 1.8287762238E-02
3.0000000000E+00 4.0000000000E+00 1.8050874126E-02
4.0000000000E+00 4.0000000000E+00 1.9472202797E-02

