x y z
1.0000000000E+00 1.0000000000E+00 5.5770463422E-02
2.0000000000E+00 1.0000000000E+00 5.4478168573E-02
3.0000000000E+00 1.0000000000E+00 5.4550645042E-02
4.0000000000E+00 1.0000000000E+00 5.5743541048E-02

1.0000000000E+00 2.0000000000E+00 5.4377790510E-02
2.0000000000E+00 2.0000000000E+00 5.0047409333E-02
3.0000000000E+00 2.0000000000E+00 5.0070894183E-02
4.0000000000E+00 2.0000000000E+00 5.4550645042E-02

1.0000000000E+00 3.0000000000E+00 5.4305016080E-02
2.0000000000E+00 3.0000000000E+00 5.0054955629E-02
3.0000000000E+00 3.0000000000E+00 5.0047409333E-02
4.0000000000E+00 3.0000000000E+00 5.4478168573E-02

1.0000000000E+00 4.0000000000E+00 5.5803335916E-02
2.0000000000E+00 4.0000000000E+00 5.4305016080E-02
3.0000000000E+00 4.0000000000E+00 5.4377790510E-02
4.0000000000E+00 4.0000000000E+00 5.5770463422E-02

