x y z
1.0000000000E+00 1.0000000000E+00 1.3692132867E-02
2.0000000000E+00 1.0000000000E+00 1.5397727273E-02
3.0000000000E+00 1.0000000000E+00 1.3265734266E-02
4.0000000000E+00 1.0000000000E+00 1.5634615385E-02

1.0000000000E+00 2.0000000000E+00 1.4007983683E-02
2.0000000000E+00 2.0000000000E+00 1.6645337995E-02
3.0000000000E+00 2.0000000000E+00 1.5587237762E-02
4.0000000000E+00 2.0000000000E+00 1.6345279720E-02

1.0000000000E+00 3.0000000000E+00 1.5997843823E-02
2.0000000000E+00 3.0000000000E+00 1.9140559441E-02
3.0000000000E+00 3.0000000000E+00 1.8050874126E-02
4.0000000000E+00 3.0000000000E+00 1.7482342657E-02

1.0000000000E+00 4.0000000000E+00 1.7908741259E-02
2.0000000000E+00 4.0000000000E+00 1.9282692308E-02
3.0000000000E+00 4.0000000000E+00 1.8524650350E-02
4.0000000000E+00 4.0000000000E+00 2.0056526807E-02

