x y z
1.0000000000E+00 1.0000000000E+00 5.5967118390E-02
2.0000000000E+00 1.0000000000E+00 4.6949166370E-02
3.0000000000E+00 1.0000000000E+00 5.1044674109E-02
4.0000000000E+00 1.0000000000E+00 6.7182141729E-02

1.0000000000E+00 2.0000000000E+00 4.4762856209E-02
2.0000000000E+00 2.0000000000E+00 7.1853439699E-02
3.0000000000E+00 2.0000000000E+00 8.0412423386E-02
4.0000000000E+00 2.0000000000E+00 5.1044674111E-02

1.0000000000E+00 3.0000000000E+00 4.7571631722E-02
2.0000000000E+00 3.0000000000E+00 6.9658439775E-02
3.0000000000E+00 3.0000000000E+00 7.1853439698E-02
4.0000000000E+00 3.0000000000E+00 4.6949166371E-02

1.0000000000E+00 4.0000000000E+00 5.0626289391E-02
2.0000000000E+00 4.0000000000E+00 4.7571631723E-02
3.0000000000E+00 4.0000000000E+00 4.4762856209E-02
4.0000000000E+00 4.0000000000E+00 5.5967118391E-02

