x y z
1.0000000000E+00 1.0000000000E+00 2.3736188811E-02
2.0000000000E+00 1.0000000000E+00 2.1777913753E-02
3.0000000000E+00 1.0000000000E+00 2.2062179487E-02
4.0000000000E+00 1.0000000000E+00 3.3559149184E-02

1.0000000000E+00 2.0000000000E+00 2.0798776224E-02
2.0000000000E+00 2.0000000000E+00 3.6038578089E-02
3.0000000000E+00 2.0000000000E+00 4.5814160839E-02
4.0000000000E+00 2.0000000000E+00 2.7147377622E-02

1.0000000000E+00 3.0000000000E+00 2.5236480186E-02
2.0000000000E+00 3.0000000000E+00 4.1392249417E-02
3.0000000000E+00 3.0000000000E+00 3.9686655012E-02
4.0000000000E+00 3.0000000000E+00 2.2630710956E-02

1.0000000000E+00 4.0000000000E+00 2.9342540793E-02
2.0000000000E+00 4.0000000000E+00 2.6199825175E-02
3.0000000000E+00 4.0000000000E+00 2.4541608392E-02
4.0000000000E+00 4.0000000000E+00 3.2895862471E-02

