x y z
1.0000000000E+00 1.0000000000E+00 4.9111448658E-02
2.0000000000E+00 1.0000000000E+00 4.9119922956E-02
3.0000000000E+00 1.0000000000E+00 4.9105009056E-02
4.0000000000E+00 1.0000000000E+00 4.9107607873E-02

1.0000000000E+00 2.0000000000E+00 4.9120157089E-02
2.0000000000E+00 2.0000000000E+00 4.9104982217E-02
3.0000000000E+00 2.0000000000E+00 4.9118322345E-02
4.0000000000E+00 2.0000000000E+00 4.9105009056E-02

1.0000000000E+00 3.0000000000E+00 4.9109746805E-02
2.0000000000E+00 3.0000000000E+00 4.9120760728E-02
3.0000000000E+00 3.0000000000E+00 4.9104982217E-02
4.0000000000E+00 3.0000000000E+00 4.9119922956E-02

1.0000000000E+00 4.0000000000E+00 4.9112725610E-02
2.0000000000E+00 4.0000000000E+00 4.9109746805E-02
3.0000000000E+00 4.0000000000E+00 4.9120157089E-02
4.0000000000E+00 4.0000000000E+00 4.9111448658E-02

