x y z
1.0000000000E+00 1.0000000000E+00 1.8019289044E-02
2.0000000000E+00 1.0000000000E+00 2.0577680653E-02
3.0000000000E+00 1.0000000000E+00 2.4162587413E-02
4.0000000000E+00 1.0000000000E+00 2.1588403263E-02

1.0000000000E+00 2.0000000000E+00 2.2441200466E-02
2.0000000000E+00 2.0000000000E+00 2.4810081585E-02
3.0000000000E+00 2.0000000000E+00 1.9172144522E-02
4.0000000000E+00 2.0000000000E+00 2.2583333333E-02

1.0000000000E+00 3.0000000000E+00 2.0293414918E-02
2.0000000000E+00 3.0000000000E+00 2.1619988345E-02
3.0000000000E+00 3.0000000000E+00 2.5789219114E-02
4.0000000000E+00 3.0000000000E+00 2.5994522145E-02

1.0000000000E+00 4.0000000000E+00 2.5583916084E-02
2.0000000000E+00 4.0000000000E+00 2.6136655012E-02
3.0000000000E+00 4.0000000000E+00 2.3767773893E-02
4.0000000000E+00 4.0000000000E+00 2.6468298368E-02

