x y z
1.0000000000E+00 1.0000000000E+00 5.3359931986E-02
2.0000000000E+00 1.0000000000E+00 5.3367514980E-02
3.0000000000E+00 1.0000000000E+00 5.3358384935E-02
4.0000000000E+00 1.0000000000E+00 5.3368943192E-02

1.0000000000E+00 2.0000000000E+00 5.3366898412E-02
2.0000000000E+00 2.0000000000E+00 5.3361654699E-02
3.0000000000E+00 2.0000000000E+00 5.3352238818E-02
4.0000000000E+00 2.0000000000E+00 5.3358384935E-02

1.0000000000E+00 3.0000000000E+00 5.3362702820E-02
2.0000000000E+00 3.0000000000E+00 5.3365079522E-02
3.0000000000E+00 3.0000000000E+00 5.3361654699E-02
4.0000000000E+00 3.0000000000E+00 5.3367514980E-02

1.0000000000E+00 4.0000000000E+00 5.3363476173E-02
2.0000000000E+00 4.0000000000E+00 5.3362702820E-02
3.0000000000E+00 4.0000000000E+00 5.3366898412E-02
4.0000000000E+00 4.0000000000E+00 5.3359931986E-02

